Doping,Doping concentration,Al_thick,%Al,Ion (mA/mm),GMmax (mS/mm),Vth(V)
0,1.00E+17,0.019,0.31,343.667,113.944,-3.69
0,1.00E+17,0.021,0.15,57.46475,64.132,-1.199
0,1.00E+17,0.021,0.17,84.051,70.82,-1.567
0,1.00E+17,0.021,0.19,115.75435,77.3,-1.932
0,1.00E+17,0.021,0.21,152.4745,83.452,-2.302
0,1.00E+17,0.021,0.23,193.8955,89.274,-2.678
0,1.00E+17,0.021,0.25,239.128,95.224,-3.056
0,1.00E+17,0.021,0.27,286.105,100.628,-3.439
0,1.00E+17,0.021,0.29,331.8815,105.816,-3.83
0,1.00E+17,0.021,0.31,373.272,110.608,-4.213
0,1.00E+17,0.023,0.15,69.5602,56.1164,-1.445
0,1.00E+17,0.023,0.17,99.9704,65.4608,-1.848
0,1.00E+17,0.023,0.19,135.798,74.14,-2.236
0,1.00E+17,0.023,0.21,176.819,81.72,-2.654
0,1.00E+17,0.023,0.23,222.205,87.576,-3.062
0,1.00E+17,0.023,0.25,269.829,92.88,-3.469
0,1.00E+17,0.023,0.27,315.739,98.3,-3.899
0,1.00E+17,0.023,0.29,357.73,103.128,-4.321
0,1.00E+17,0.023,0.31,394.386,107.728,-4.737
0,1.00E+17,0.025,0.15,82.1583,57.4016,-1.691
0,1.00E+17,0.025,0.17,116.157,66.2392,-2.128
0,1.00E+17,0.025,0.19,155.727,74.008,-2.56
0,1.00E+17,0.025,0.21,200.167,79.992,-2.989
0,1.00E+17,0.025,0.23,247.298,85.332,-3.444
0,1.00E+17,0.025,0.25,293.027,90.788,-3.899
0,1.00E+17,0.025,0.27,335.207,95.832,-4.356
0,1.00E+17,0.025,0.29,373.731,100.384,-4.812
0,1.00E+17,0.025,0.31,407.537,104.828,-5.269
0,1.00E+17,0.027,0.15,94.8563,58.2432,-1.938
0,1.00E+17,0.027,0.17,132.242,66.372,-2.407
0,1.00E+17,0.027,0.19,175.103,72.616,-2.879
0,1.00E+17,0.027,0.21,221.507,78.24,-3.354
0,1.00E+17,0.027,0.23,267.312,83.6,-3.833
0,1.00E+17,0.027,0.25,309.722,88.684,-4.318
0,1.00E+17,0.027,0.27,348.885,93.428,-4.808
0,1.00E+17,0.027,0.29,385.29,97.948,-5.305
0,1.00E+17,0.027,0.31,417.206,102.132,-5.809
0,1.00E+17,0.029,0.15,107.572,58.6724,-2.185
0,1.00E+17,0.029,0.17,148.081,65.756,-2.685
0,1.00E+17,0.029,0.19,193.274,71.284,-3.189
0,1.00E+17,0.029,0.21,239.284,76.58,-3.698
0,1.00E+17,0.029,0.23,282.173,81.684,-4.212
0,1.00E+17,0.029,0.25,321.759,86.644,-4.73
0,1.00E+17,0.029,0.27,359.029,91.328,-5.254
0,1.00E+17,0.029,0.29,394.048,95.692,-5.799
0,1.00E+17,0.029,0.31,424.637,99.616,-6.346
0,2.00E+17,0.015,0.15,26.379955,65.19,-0.49
0,2.00E+17,0.015,0.17,40.46605,72.378,-0.821
0,2.00E+17,0.015,0.19,56.5157,79.284,-1.011
0,2.00E+17,0.015,0.21,80.15065,85.9,-1.348
0,2.00E+17,0.015,0.23,105.70765,91.64,-1.6
0,2.00E+17,0.015,0.25,134.9846,98.588,-1.879
0,2.00E+17,0.015,0.27,167.825,103.824,-2.182
0,2.00E+17,0.015,0.29,203.9045,108.507,-2.415
0,2.00E+17,0.015,0.31,242.517,114.326,-2.757
0,2.00E+17,0.017,0.15,34.44235,64.012,-0.734
0,2.00E+17,0.017,0.17,52.9187,70.784,-1.035
0,2.00E+17,0.017,0.19,75.50195,77.364,-1.342
0,2.00E+17,0.017,0.21,102.21075,83.744,-1.643
0,2.00E+17,0.017,0.23,133.025,89.924,-1.941
0,2.00E+17,0.017,0.25,167.845,95.872,-2.238
0,2.00E+17,0.017,0.27,206.3945,101.194,-2.562
0,2.00E+17,0.017,0.29,248.059,106.324,-2.881
0,2.00E+17,0.017,0.31,291.285,111.632,-3.192
0,2.00E+17,0.019,0.15,46.0502,62.684,-0.984
0,2.00E+17,0.019,0.17,68.31315,69.24,-1.325
0,2.00E+17,0.019,0.19,95.06605,75.576,-1.658
0,2.00E+17,0.019,0.21,126.2925,81.676,-1.982
0,2.00E+17,0.019,0.23,161.8945,87.504,-2.335
0,2.00E+17,0.019,0.25,201.541,93.06,-2.675
0,2.00E+17,0.019,0.27,244.4195,98.636,-3.008
0,2.00E+17,0.019,0.29,288.6545,103.752,-3.378
0,2.00E+17,0.019,0.31,330.749,108.208,-3.719
0,2.00E+17,0.021,0.15,58.18435,61.472,-1.235
0,2.00E+17,0.021,0.17,84.14655,67.82,-1.613
0,2.00E+17,0.021,0.19,114.9403,73.88,-1.969
0,2.00E+17,0.021,0.21,150.45,79.596,-2.351
0,2.00E+17,0.021,0.23,190.311,85.136,-2.715
0,2.00E+17,0.021,0.25,233.515,90.844,-3.105
0,2.00E+17,0.021,0.27,277.847,95.896,-3.475
0,2.00E+17,0.021,0.29,320.471,100.892,-3.876
0,2.00E+17,0.021,0.31,357.6275,105.076,-4.248
0,2.00E+17,0.023,0.15,70.5063,54.6148,-1.489
0,2.00E+17,0.023,0.17,100.195,63.3328,-1.9
0,2.00E+17,0.023,0.19,134.982,71.384,-2.296
0,2.00E+17,0.023,0.21,174.605,78.264,-2.701
0,2.00E+17,0.023,0.23,218.104,83.624,-3.119
0,2.00E+17,0.023,0.25,263.068,88.848,-3.52
0,2.00E+17,0.023,0.27,305.805,93.772,-3.946
0,2.00E+17,0.023,0.29,344.402,98.468,-4.377
0,2.00E+17,0.023,0.31,376.414,102.468,-4.8
0,2.00E+17,0.025,0.15,83.3325,55.8264,-1.743
0,2.00E+17,0.025,0.17,116.515,64.024,-2.185
0,2.00E+17,0.025,0.19,154.89,71.08,-2.626
0,2.00E+17,0.025,0.21,197.619,76.548,-3.063
0,2.00E+17,0.025,0.23,242.194,81.768,-3.495
